No,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,datetime
63,96.0,-11,-9.0,1020.0,SE,116.66,20,0,2010-01-03 14:00:00
64,95.0,-11,-9.0,1020.0,SE,121.58,21,0,2010-01-03 15:00:00
65,86.0,-11,-9.0,1020.0,SE,124.71,22,0,2010-01-03 16:00:00
66,70.0,-11,-9.0,1020.0,SE,127.84,23,0,2010-01-03 17:00:00
67,61.0,-11,-9.0,1021.0,cv,0.89,24,0,2010-01-03 18:00:00
68,53.0,-11,-9.0,1022.0,cv,1.78,25,0,2010-01-03 19:00:00
69,71.0,-10,-9.0,1022.0,NW,4.02,26,0,2010-01-03 20:00:00
70,72.0,-11,-10.0,1023.0,NW,7.15,27,0,2010-01-03 21:00:00
71,76.0,-11,-9.0,1023.0,NW,11.17,0,0,2010-01-03 22:00:00
72,73.0,-12,-11.0,1023.0,NW,14.3,0,0,2010-01-03 23:00:00
73,79.0,-14,-12.0,1023.0,NW,16.09,0,0,2010-01-04 00:00:00
74,58.0,-16,-9.0,1023.0,NW,21.9,0,0,2010-01-04 01:00:00
75,25.0,-17,-10.0,1024.0,NW,29.95,0,0,2010-01-04 02:00:00
76,26.0,-18,-11.0,1024.0,NW,39.78,0,0,2010-01-04 03:00:00
77,28.0,-19,-11.0,1025.0,NW,48.72,0,0,2010-01-04 04:00:00
78,26.0,-20,-12.0,1026.0,NW,55.87,0,0,2010-01-04 05:00:00
79,20.0,-21,-12.0,1027.0,NW,64.81,0,0,2010-01-04 06:00:00
80,29.0,-21,-13.0,1027.0,NW,73.75,0,0,2010-01-04 07:00:00
81,26.0,-22,-13.0,1028.0,NW,80.9,0,0,2010-01-04 08:00:00
82,27.0,-22,-13.0,1029.0,NW,90.73,0,0,2010-01-04 09:00:00
83,27.0,-22,-12.0,1030.0,NW,100.56,0,0,2010-01-04 10:00:00
84,25.0,-23,-12.0,1031.0,NW,108.61,0,0,2010-01-04 11:00:00
85,29.0,-21,-11.0,1030.0,NW,117.55,0,0,2010-01-04 12:00:00
86,32.0,-20,-10.0,1030.0,NW,127.38,0,0,2010-01-04 13:00:00
87,28.0,-21,-10.0,1030.0,NW,136.32,0,0,2010-01-04 14:00:00
88,29.0,-21,-9.0,1030.0,NW,145.26,0,0,2010-01-04 15:00:00
89,30.0,-21,-9.0,1031.0,NW,152.41,0,0,2010-01-04 16:00:00
90,30.0,-20,-11.0,1032.0,NW,159.56,0,0,2010-01-04 17:00:00
91,28.0,-23,-11.0,1032.0,NW,165.37,0,0,2010-01-04 18:00:00
92,26.0,-21,-12.0,1033.0,NW,171.18,0,0,2010-01-04 19:00:00
93,31.0,-24,-12.0,1034.0,NW,180.12,0,0,2010-01-04 20:00:00
94,33.0,-24,-13.0,1034.0,NW,187.27,0,0,2010-01-04 21:00:00
95,29.0,-24,-13.0,1035.0,NW,195.32,0,0,2010-01-04 22:00:00
96,31.0,-26,-15.0,1035.0,NW,198.45,0,0,2010-01-04 23:00:00
97,30.0,-26,-17.0,1035.0,NW,201.58,0,0,2010-01-05 00:00:00
98,34.0,-26,-18.0,1035.0,NW,205.6,0,0,2010-01-05 01:00:00
99,27.0,-26,-19.0,1035.0,NW,208.73,0,0,2010-01-05 02:00:00
100,25.0,-27,-18.0,1035.0,NW,213.65,0,0,2010-01-05 03:00:00
101,28.0,-27,-19.0,1035.0,NW,218.57,0,0,2010-01-05 04:00:00
102,28.0,-27,-16.0,1034.0,NE,4.92,0,0,2010-01-05 05:00:00
103,27.0,-26,-16.0,1035.0,NE,8.05,0,0,2010-01-05 06:00:00
104,27.0,-27,-16.0,1034.0,NE,13.86,0,0,2010-01-05 07:00:00
105,27.0,-26,-16.0,1035.0,NE,18.78,0,0,2010-01-05 08:00:00
106,29.0,-26,-15.0,1035.0,NE,24.59,0,0,2010-01-05 09:00:00
107,36.0,-25,-14.0,1035.0,NE,29.51,0,0,2010-01-05 10:00:00
108,30.0,-25,-13.0,1035.0,NE,34.43,0,0,2010-01-05 11:00:00
109,27.0,-25,-12.0,1034.0,NE,39.35,0,0,2010-01-05 12:00:00
110,39.0,-24,-11.0,1032.0,NE,41.14,0,0,2010-01-05 13:00:00
111,41.0,-22,-11.0,1032.0,cv,0.89,0,0,2010-01-05 14:00:00
112,33.0,-23,-11.0,1031.0,NW,1.79,0,0,2010-01-05 15:00:00
113,50.0,-24,-11.0,1031.0,NW,3.58,0,0,2010-01-05 16:00:00
114,56.0,-23,-11.0,1031.0,NW,5.37,0,0,2010-01-05 17:00:00
115,59.0,-23,-11.0,1032.0,NW,7.16,0,0,2010-01-05 18:00:00
116,60.0,-22,-13.0,1033.0,NW,10.29,0,0,2010-01-05 19:00:00
117,84.0,-22,-12.0,1033.0,NW,13.42,0,0,2010-01-05 20:00:00
118,106.0,-24,-18.0,1033.0,NW,16.55,0,0,2010-01-05 21:00:00
119,66.0,-22,-13.0,1034.0,NW,20.57,0,0,2010-01-05 22:00:00
120,50.0,-22,-16.0,1033.0,NW,23.7,0,0,2010-01-05 23:00:00
121,56.0,-25,-17.0,1033.0,NW,26.83,0,0,2010-01-06 00:00:00
122,77.0,-25,-14.0,1033.0,NE,4.02,0,0,2010-01-06 01:00:00
123,50.0,-26,-14.0,1034.0,NE,8.04,0,0,2010-01-06 02:00:00
124,44.0,-26,-14.0,1033.0,NE,13.85,0,0,2010-01-06 03:00:00
125,27.0,-26,-14.0,1033.0,NE,17.87,0,0,2010-01-06 04:00:00
126,28.0,-26,-14.0,1033.0,NE,23.68,0,0,2010-01-06 05:00:00
127,21.0,-26,-14.0,1033.0,NE,28.6,0,0,2010-01-06 06:00:00
128,25.0,-26,-15.0,1034.0,NE,33.52,0,0,2010-01-06 07:00:00
129,20.0,-26,-14.0,1034.0,NE,39.33,0,0,2010-01-06 08:00:00
130,29.0,-25,-13.0,1035.0,NE,44.25,0,0,2010-01-06 09:00:00
131,34.0,-25,-12.0,1035.0,NE,50.06,0,0,2010-01-06 10:00:00
132,42.0,-24,-11.0,1035.0,NE,54.98,0,0,2010-01-06 11:00:00
133,28.0,-24,-10.0,1034.0,NE,59.0,0,0,2010-01-06 12:00:00
134,36.0,-22,-10.0,1033.0,NW,4.02,0,0,2010-01-06 13:00:00
135,48.0,-22,-9.0,1033.0,NW,5.81,0,0,2010-01-06 14:00:00
136,49.0,-22,-8.0,1033.0,cv,0.89,0,0,2010-01-06 15:00:00
137,52.0,-22,-8.0,1033.0,NW,1.79,0,0,2010-01-06 16:00:00
138,56.0,-21,-9.0,1033.0,NW,3.58,0,0,2010-01-06 17:00:00
139,96.0,-22,-9.0,1033.0,NW,5.37,0,0,2010-01-06 18:00:00
140,75.0,-22,-14.0,1034.0,cv,0.89,0,0,2010-01-06 19:00:00
141,105.0,-22,-12.0,1035.0,NW,1.79,0,0,2010-01-06 20:00:00
142,132.0,-21,-14.0,1034.0,NW,3.58,0,0,2010-01-06 21:00:00
143,93.0,-22,-16.0,1035.0,NW,5.37,0,0,2010-01-06 22:00:00
144,131.0,-21,-16.0,1035.0,NW,7.16,0,0,2010-01-06 23:00:00
145,127.0,-21,-16.0,1035.0,NW,8.95,0,0,2010-01-07 00:00:00
146,130.0,-21,-16.0,1035.0,cv,0.45,0,0,2010-01-07 01:00:00
147,43.0,-22,-18.0,1036.0,cv,1.34,0,0,2010-01-07 02:00:00
148,37.0,-23,-15.0,1036.0,NW,4.02,0,0,2010-01-07 03:00:00
149,30.0,-24,-16.0,1035.0,NW,7.15,0,0,2010-01-07 04:00:00
150,28.0,-25,-15.0,1035.0,NW,10.28,0,0,2010-01-07 05:00:00
151,24.0,-24,-15.0,1035.0,NW,14.3,0,0,2010-01-07 06:00:00
152,23.0,-25,-13.0,1036.0,NE,4.92,0,0,2010-01-07 07:00:00
153,24.0,-24,-14.0,1036.0,NW,4.02,0,0,2010-01-07 08:00:00
154,27.0,-23,-12.0,1036.0,NW,8.94,0,0,2010-01-07 09:00:00
155,40.0,-22,-11.0,1036.0,NW,12.96,0,0,2010-01-07 10:00:00
156,42.0,-20,-10.0,1036.0,NW,16.09,0,0,2010-01-07 11:00:00
157,42.0,-21,-9.0,1035.0,NW,19.22,0,0,2010-01-07 12:00:00
158,55.0,-21,-8.0,1034.0,NW,21.01,0,0,2010-01-07 13:00:00
159,52.0,-20,-7.0,1033.0,NW,22.8,0,0,2010-01-07 14:00:00
160,51.0,-20,-7.0,1032.0,NW,24.59,0,0,2010-01-07 15:00:00
161,57.0,-18,-8.0,1032.0,NW,26.38,0,0,2010-01-07 16:00:00
162,50.0,-19,-9.0,1032.0,NW,28.17,0,0,2010-01-07 17:00:00
163,54.0,-19,-11.0,1032.0,NE,0.89,0,0,2010-01-07 18:00:00
164,67.0,-18,-11.0,1033.0,NW,1.79,0,0,2010-01-07 19:00:00
165,106.0,-19,-15.0,1032.0,NE,1.79,0,0,2010-01-07 20:00:00
166,159.0,-19,-14.0,1032.0,cv,0.45,0,0,2010-01-07 21:00:00
167,198.0,-21,-14.0,1032.0,cv,1.34,0,0,2010-01-07 22:00:00
168,190.0,-21,-16.0,1032.0,cv,2.23,0,0,2010-01-07 23:00:00
169,210.0,-21,-17.0,1031.0,NW,1.79,0,0,2010-01-08 00:00:00
170,195.0,-19,-16.0,1031.0,NW,3.58,0,0,2010-01-08 01:00:00
171,275.0,-20,-16.0,1031.0,NE,0.89,0,0,2010-01-08 02:00:00
172,164.0,-19,-15.0,1030.0,SE,0.89,0,0,2010-01-08 03:00:00
173,110.0,-18,-15.0,1030.0,cv,0.45,0,0,2010-01-08 04:00:00
174,100.0,-18,-15.0,1029.0,cv,1.34,0,0,2010-01-08 05:00:00
175,81.0,-18,-15.0,1029.0,NW,1.79,0,0,2010-01-08 06:00:00
176,71.0,-16,-13.0,1029.0,NE,0.89,0,0,2010-01-08 07:00:00
177,66.0,-16,-12.0,1029.0,SE,0.89,0,0,2010-01-08 08:00:00
178,92.0,-16,-12.0,1030.0,SE,1.78,0,0,2010-01-08 09:00:00
179,135.0,-17,-10.0,1030.0,NE,0.89,0,0,2010-01-08 10:00:00
180,155.0,-16,-10.0,1029.0,cv,0.89,0,0,2010-01-08 11:00:00
181,198.0,-16,-9.0,1028.0,SE,3.13,0,0,2010-01-08 12:00:00
182,250.0,-15,-8.0,1026.0,SE,4.92,0,0,2010-01-08 13:00:00
183,200.0,-16,-8.0,1026.0,cv,0.89,0,0,2010-01-08 14:00:00
184,231.0,-16,-8.0,1025.0,cv,1.78,0,0,2010-01-08 15:00:00
185,250.0,-16,-8.0,1025.0,cv,2.67,0,0,2010-01-08 16:00:00
186,212.0,-17,-8.0,1025.0,SE,0.89,0,0,2010-01-08 17:00:00
187,219.0,-17,-9.0,1026.0,cv,0.45,0,0,2010-01-08 18:00:00
188,227.0,-17,-11.0,1026.0,cv,1.34,0,0,2010-01-08 19:00:00
189,226.0,-17,-12.0,1026.0,cv,1.79,0,0,2010-01-08 20:00:00
190,225.0,-18,-14.0,1027.0,NW,1.79,0,0,2010-01-08 21:00:00
191,168.0,-16,-9.0,1027.0,NW,4.92,0,0,2010-01-08 22:00:00
192,169.0,-16,-11.0,1027.0,NW,6.71,0,0,2010-01-08 23:00:00
193,165.0,-17,-13.0,1027.0,cv,0.89,0,0,2010-01-09 00:00:00
194,159.0,-17,-13.0,1027.0,NW,3.13,0,0,2010-01-09 01:00:00
195,167.0,-17,-14.0,1027.0,NW,4.92,0,0,2010-01-09 02:00:00
196,196.0,-17,-15.0,1027.0,NW,8.05,0,0,2010-01-09 03:00:00
197,169.0,-17,-13.0,1027.0,NW,9.84,0,0,2010-01-09 04:00:00
198,155.0,-19,-16.0,1027.0,NW,13.86,0,0,2010-01-09 05:00:00
199,119.0,-18,-15.0,1027.0,NW,17.88,0,0,2010-01-09 06:00:00
200,106.0,-19,-15.0,1027.0,NW,21.9,0,0,2010-01-09 07:00:00
201,93.0,-18,-14.0,1028.0,NW,25.92,0,0,2010-01-09 08:00:00
202,84.0,-18,-9.0,1029.0,NE,5.81,0,0,2010-01-09 09:00:00
203,73.0,-17,-7.0,1029.0,NE,11.62,0,0,2010-01-09 10:00:00
204,66.0,-17,-6.0,1030.0,NE,17.43,0,0,2010-01-09 11:00:00
205,40.0,-16,-6.0,1029.0,NE,23.24,0,0,2010-01-09 12:00:00
206,49.0,-16,-5.0,1029.0,NE,28.16,0,0,2010-01-09 13:00:00
207,50.0,-15,-4.0,1029.0,NE,33.08,0,0,2010-01-09 14:00:00
208,49.0,-14,-4.0,1028.0,NE,37.1,0,0,2010-01-09 15:00:00
209,41.0,-15,-4.0,1029.0,NE,38.89,0,0,2010-01-09 16:00:00
210,37.0,-15,-4.0,1030.0,NW,1.79,0,0,2010-01-09 17:00:00
211,45.0,-15,-7.0,1030.0,NE,3.13,0,0,2010-01-09 18:00:00
212,44.0,-15,-6.0,1031.0,NW,3.13,0,0,2010-01-09 19:00:00
213,54.0,-15,-7.0,1032.0,NW,4.92,0,0,2010-01-09 20:00:00
214,50.0,-15,-6.0,1032.0,NE,3.13,0,0,2010-01-09 21:00:00
215,47.0,-15,-8.0,1033.0,cv,0.45,0,0,2010-01-09 22:00:00
216,66.0,-15,-8.0,1033.0,cv,0.9,0,0,2010-01-09 23:00:00
217,75.0,-15,-11.0,1033.0,NW,0.89,0,0,2010-01-10 00:00:00
218,82.0,-17,-13.0,1033.0,NW,1.78,0,0,2010-01-10 01:00:00
219,66.0,-17,-12.0,1033.0,NW,4.91,0,0,2010-01-10 02:00:00
220,83.0,-17,-13.0,1033.0,NW,8.04,0,0,2010-01-10 03:00:00
221,62.0,-19,-14.0,1032.0,NW,9.83,0,0,2010-01-10 04:00:00
222,40.0,-18,-13.0,1032.0,NW,12.96,0,0,2010-01-10 05:00:00
223,23.0,-19,-13.0,1032.0,NW,16.09,0,0,2010-01-10 06:00:00
224,25.0,-19,-14.0,1033.0,NW,19.22,0,0,2010-01-10 07:00:00
225,27.0,-19,-14.0,1034.0,NW,22.35,0,0,2010-01-10 08:00:00
226,35.0,-17,-12.0,1033.0,NW,24.14,0,0,2010-01-10 09:00:00
227,50.0,-16,-7.0,1033.0,NE,4.02,0,0,2010-01-10 10:00:00
228,70.0,-15,-7.0,1033.0,NW,3.13,0,0,2010-01-10 11:00:00
229,75.0,-15,-7.0,1032.0,NW,6.26,0,0,2010-01-10 12:00:00
230,58.0,-14,-6.0,1031.0,NW,9.39,0,0,2010-01-10 13:00:00
231,70.0,-14,-6.0,1031.0,NW,12.52,0,0,2010-01-10 14:00:00
232,68.0,-13,-5.0,1030.0,NW,14.31,0,0,2010-01-10 15:00:00
233,71.0,-14,-5.0,1031.0,NW,16.1,0,0,2010-01-10 16:00:00
234,88.0,-14,-6.0,1031.0,NW,19.23,0,0,2010-01-10 17:00:00
235,84.0,-13,-7.0,1032.0,NW,23.25,0,0,2010-01-10 18:00:00
236,83.0,-15,-6.0,1032.0,NW,27.27,0,0,2010-01-10 19:00:00
237,66.0,-15,-6.0,1033.0,NW,30.4,0,0,2010-01-10 20:00:00
238,27.0,-15,-4.0,1034.0,NW,35.32,0,0,2010-01-10 21:00:00
239,24.0,-16,-4.0,1034.0,NW,44.26,0,0,2010-01-10 22:00:00
240,22.0,-17,-5.0,1035.0,NW,52.31,0,0,2010-01-10 23:00:00
241,23.0,-17,-6.0,1035.0,NW,60.36,0,0,2010-01-11 00:00:00
242,27.0,-17,-8.0,1035.0,cv,0.89,0,0,2010-01-11 01:00:00
243,23.0,-19,-11.0,1036.0,NW,4.02,0,0,2010-01-11 02:00:00
244,17.0,-20,-11.0,1036.0,NW,8.94,0,0,2010-01-11 03:00:00
245,17.0,-21,-11.0,1035.0,NE,4.02,0,0,2010-01-11 04:00:00
246,16.0,-22,-12.0,1035.0,NW,3.13,0,0,2010-01-11 05:00:00
247,16.0,-22,-12.0,1035.0,NE,4.92,0,0,2010-01-11 06:00:00
248,20.0,-22,-13.0,1036.0,NW,5.81,0,0,2010-01-11 07:00:00
249,20.0,-22,-9.0,1036.0,NW,13.86,0,0,2010-01-11 08:00:00
250,18.0,-22,-10.0,1036.0,NW,21.91,0,0,2010-01-11 09:00:00
251,25.0,-22,-9.0,1036.0,NW,29.06,0,0,2010-01-11 10:00:00
252,26.0,-21,-9.0,1036.0,NW,33.08,0,0,2010-01-11 11:00:00
253,27.0,-20,-6.0,1035.0,NW,42.02,0,0,2010-01-11 12:00:00
254,28.0,-19,-5.0,1034.0,NW,50.96,0,0,2010-01-11 13:00:00
255,15.0,-19,-5.0,1033.0,NW,59.01,0,0,2010-01-11 14:00:00
256,24.0,-20,-5.0,1033.0,NW,66.16,0,0,2010-01-11 15:00:00
257,13.0,-20,-5.0,1032.0,NW,71.97,0,0,2010-01-11 16:00:00
258,13.0,-20,-5.0,1033.0,NW,76.89,0,0,2010-01-11 17:00:00
259,13.0,-20,-7.0,1033.0,NW,81.81,0,0,2010-01-11 18:00:00
260,17.0,-22,-7.0,1033.0,NW,85.83,0,0,2010-01-11 19:00:00
261,20.0,-22,-8.0,1033.0,NW,89.85,0,0,2010-01-11 20:00:00
262,27.0,-23,-10.0,1033.0,NW,91.64,0,0,2010-01-11 21:00:00
263,20.0,-23,-13.0,1033.0,NW,93.43,0,0,2010-01-11 22:00:00
264,15.0,-22,-12.0,1032.0,cv,0.89,0,0,2010-01-11 23:00:00
265,21.0,-22,-15.0,1031.0,cv,1.78,0,0,2010-01-12 00:00:00
266,21.0,-22,-14.0,1031.0,NE,1.79,0,0,2010-01-12 01:00:00
267,37.0,-22,-14.0,1031.0,NW,0.89,0,0,2010-01-12 02:00:00
268,26.0,-24,-18.0,1030.0,NE,1.79,0,0,2010-01-12 03:00:00
269,15.0,-24,-13.0,1030.0,NE,3.58,0,0,2010-01-12 04:00:00
270,9.0,-25,-14.0,1030.0,NW,3.13,0,0,2010-01-12 05:00:00
271,11.0,-24,-14.0,1030.0,NW,7.15,0,0,2010-01-12 06:00:00
272,11.0,-25,-12.0,1030.0,NW,12.96,0,0,2010-01-12 07:00:00
273,16.0,-26,-14.0,1030.0,NW,16.98,0,0,2010-01-12 08:00:00
274,13.0,-25,-12.0,1031.0,NW,21.0,0,0,2010-01-12 09:00:00
275,15.0,-25,-11.0,1031.0,NW,26.81,0,0,2010-01-12 10:00:00
276,21.0,-24,-11.0,1030.0,NW,35.75,0,0,2010-01-12 11:00:00
277,24.0,-23,-11.0,1029.0,NW,47.82,0,0,2010-01-12 12:00:00
278,22.0,-22,-11.0,1029.0,NW,63.02,0,0,2010-01-12 13:00:00
279,22.0,-23,-11.0,1029.0,NW,75.98,0,0,2010-01-12 14:00:00
280,22.0,-22,-11.0,1029.0,NW,88.05,0,0,2010-01-12 15:00:00
281,19.0,-23,-11.0,1030.0,NW,101.01,0,0,2010-01-12 16:00:00
282,23.0,-24,-11.0,1030.0,NW,109.06,0,0,2010-01-12 17:00:00
283,25.0,-24,-11.0,1032.0,NW,118.0,0,0,2010-01-12 18:00:00
284,25.0,-23,-11.0,1032.0,NW,126.05,0,0,2010-01-12 19:00:00
285,31.0,-23,-12.0,1032.0,NW,134.1,0,0,2010-01-12 20:00:00
286,25.0,-24,-12.0,1033.0,NW,142.15,0,0,2010-01-12 21:00:00
287,22.0,-23,-12.0,1033.0,NW,150.2,0,0,2010-01-12 22:00:00
288,22.0,-23,-12.0,1034.0,NW,160.03,0,0,2010-01-12 23:00:00
289,15.0,-24,-12.0,1034.0,NW,169.86,0,0,2010-01-13 00:00:00
290,16.0,-24,-12.0,1033.0,NW,178.8,0,0,2010-01-13 01:00:00
291,11.0,-25,-12.0,1033.0,NW,189.98,0,0,2010-01-13 02:00:00
292,11.0,-24,-13.0,1033.0,NW,198.03,0,0,2010-01-13 03:00:00
293,12.0,-25,-12.0,1032.0,NW,205.18,0,0,2010-01-13 04:00:00
294,11.0,-25,-12.0,1033.0,NW,215.01,0,0,2010-01-13 05:00:00
295,12.0,-25,-12.0,1032.0,NW,226.19,0,0,2010-01-13 06:00:00
296,27.0,-25,-12.0,1032.0,NW,235.13,0,0,2010-01-13 07:00:00
297,28.0,-25,-12.0,1032.0,NW,243.18,0,0,2010-01-13 08:00:00
298,34.0,-23,-11.0,1033.0,NW,252.12,0,0,2010-01-13 09:00:00
299,33.0,-23,-10.0,1033.0,NW,257.93,0,0,2010-01-13 10:00:00
300,36.0,-22,-9.0,1033.0,NW,263.74,0,0,2010-01-13 11:00:00
301,26.0,-21,-8.0,1031.0,NW,270.89,0,0,2010-01-13 12:00:00
302,49.0,-21,-6.0,1030.0,NW,278.94,0,0,2010-01-13 13:00:00
303,52.0,-20,-5.0,1029.0,NW,286.99,0,0,2010-01-13 14:00:00
304,47.0,-22,-5.0,1028.0,NW,294.14,0,0,2010-01-13 15:00:00
305,47.0,-21,-5.0,1028.0,NW,299.06,0,0,2010-01-13 16:00:00
306,39.0,-19,-7.0,1028.0,SE,1.79,0,0,2010-01-13 17:00:00
307,59.0,-19,-8.0,1028.0,cv,0.45,0,0,2010-01-13 18:00:00
308,76.0,-20,-9.0,1028.0,cv,1.34,0,0,2010-01-13 19:00:00
309,96.0,-19,-10.0,1027.0,SE,1.79,0,0,2010-01-13 20:00:00
310,95.0,-19,-13.0,1027.0,cv,0.89,0,0,2010-01-13 21:00:00
311,68.0,-18,-12.0,1027.0,cv,1.78,0,0,2010-01-13 22:00:00
312,65.0,-18,-13.0,1027.0,NE,0.89,0,0,2010-01-13 23:00:00
313,75.0,-18,-14.0,1026.0,NE,1.78,0,0,2010-01-14 00:00:00
314,257.0,-20,-15.0,1025.0,NE,2.67,0,0,2010-01-14 01:00:00
315,174.0,-20,-15.0,1025.0,NW,0.89,0,0,2010-01-14 02:00:00
316,164.0,-20,-16.0,1025.0,NW,1.78,0,0,2010-01-14 03:00:00
317,161.0,-20,-16.0,1024.0,NW,3.57,0,0,2010-01-14 04:00:00
318,137.0,-21,-17.0,1024.0,NW,6.7,0,0,2010-01-14 05:00:00
319,92.0,-19,-14.0,1023.0,NW,10.72,0,0,2010-01-14 06:00:00
320,64.0,-21,-17.0,1023.0,NW,13.85,0,0,2010-01-14 07:00:00
321,87.0,-19,-15.0,1024.0,NW,15.64,0,0,2010-01-14 08:00:00
322,87.0,-19,-14.0,1024.0,NW,18.77,0,0,2010-01-14 09:00:00
323,84.0,-18,-10.0,1024.0,NW,22.79,0,0,2010-01-14 10:00:00
324,95.0,-17,-9.0,1023.0,NW,24.58,0,0,2010-01-14 11:00:00
325,79.0,-16,-6.0,1023.0,NW,26.37,0,0,2010-01-14 12:00:00
